STATE,TOTAL VOTES,Democratic,Democratic,Democratic,Republican,Republican,Republican,
STATE,TOTAL VOTES,FRANKLIN D. ROOSEVELT,FRANKLIN D. ROOSEVELT,FRANKLIN D. ROOSEVELT,ALFRED M. LANDON,ALFRED M. LANDON,ALFRED M. LANDON,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV,
,,,,,,,,
Alabama,275744,238196,86.4,11,35358,12.8,,
Arizona,124163,86722,69.8,3,33433,26.9,,
Arkansas,179431,146765,81.8,9,32049,17.9,,
California,2638882,1766836,67.0,22,836431,31.7,,
Colorado,488685,295021,60.4,6,181267,37.1,,
Connecticut,690723,382129,55.3,8,278685,40.3,,
Delaware,127603,69702,54.6,3,54014,42.3,,
Florida,327436,249117,76.1,7,78248,23.9,,
Georgia,293170,255363,87.1,12,36943,12.6,,
Idaho,199617,125683,63.0,4,66256,33.2,,
Illinois,3956522,2282999,57.7,29,1570393,39.7,,
Indiana,1650897,934974,56.6,14,691570,41.9,,
Iowa,1142737,621756,54.4,11,487977,42.7,,
Kansas,865507,464520,53.7,9,397727,46.0,,
Kentucky,926214,541944,58.5,11,369702,39.9,,
Louisiana,329778,292894,88.8,10,36791,11.2,,
Maine,304240,126333,41.5,,168823,55.5,5,
Maryland,624896,389612,62.3,8,231435,37.0,,
Massachusetts,1840357,942716,51.2,17,768613,41.8,,
Michigan,1805098,1016794,56.3,19,699733,38.8,,
Minnesota,1129975,698811,61.8,11,350461,31.0,,
Mississippi,162142,157333,97.0,9,4467,2.8,,
Missouri,1828635,1111043,60.8,15,697891,38.2,,
Montana,230502,159690,69.3,4,63598,27.6,,
Nebraska,608023,347445,57.1,7,247731,40.7,,
Nevada,43848,31925,72.8,3,11923,27.2,,
New Hampshire,218114,108460,49.7,4,104642,48.0,,
New Jersey,1820437,1083850,59.5,16,720322,39.6,,
New Mexico,169135,106037,62.7,3,61727,36.5,,
New York,5596398,3293222,58.8,47,2180670,39.0,,
North Carolina,839475,616141,73.4,13,223294,26.6,,
North Dakota,273716,163148,59.6,4,72751,26.6,,
Ohio,3012660,1747140,58.0,26,1127855,37.4,,
Oklahoma,749740,501069,66.8,11,245122,32.7,,
Oregon,414021,266733,64.4,5,122706,29.6,,
Pennsylvania,4138105,2353788,56.9,36,1690300,40.8,,
Rhode Island,310278,164338,53.0,4,125031,40.3,,
South Carolina,115437,113791,98.6,8,1646,1.4,,
South Dakota,296452,160137,54.0,4,125977,42.5,,
Tennessee,475533,327083,68.8,11,146516,30.8,,
Texas,843482,734485,87.1,23,103874,12.3,,
Utah,216679,150248,69.3,4,64555,29.8,,
Vermont,143689,62124,43.2,,81023,56.4,3,
Virginia,334590,234980,70.2,11,98336,29.4,,
Washington,692338,459579,66.4,8,206892,29.9,,
West Virginia,829945,502582,60.6,8,325358,39.2,,
Wisconsin,1258560,802984,63.8,12,380828,30.3,,
Wyoming,103382,62624,60.6,3,38739,37.5,
